Overs Remaining,0,1,2,3,4,5,6,7,8,9
7.17,42.18333333333333,41.65,40.61666666666667,38.95,36.38333333333333,36.15,30.166666666666664,23.016666666666666,14.866666666666665,8.3
7.0,41.3,40.8,39.8,38.2,35.7,35.5,29.7,22.7,14.7,8.3
6.83,40.4,39.916666666666664,38.96666666666666,37.41666666666667,34.983333333333334,34.81666666666666,29.183333333333334,22.35,14.5,8.266666666666667
6.67,39.5,39.03333333333333,38.13333333333333,36.63333333333333,34.266666666666666,34.13333333333333,28.666666666666668,22.0,14.299999999999999,8.233333333333334
6.5,38.599999999999994,38.15,37.3,35.85,33.55,33.45,28.15,21.65,14.1,8.2
6.33,37.699999999999996,37.266666666666666,36.46666666666666,35.06666666666667,32.833333333333336,32.766666666666666,27.633333333333333,21.3,13.9,8.166666666666666
6.17,36.8,36.38333333333333,35.63333333333333,34.28333333333333,32.11666666666667,32.08333333333333,27.116666666666667,20.950000000000003,13.7,8.133333333333333
6.0,35.9,35.5,34.8,33.5,31.4,31.4,26.6,20.6,13.5,8.1
5.83,34.983333333333334,34.583333333333336,33.916666666666664,32.666666666666664,30.65,30.7,26.05,20.200000000000003,13.283333333333333,8.1
5.67,34.06666666666666,33.666666666666664,33.03333333333333,31.833333333333332,29.9,30.0,25.5,19.8,13.066666666666666,8.1
5.5,33.15,32.75,32.15,31.0,29.15,29.299999999999997,24.950000000000003,19.4,12.85,8.1
5.33,32.233333333333334,31.833333333333332,31.266666666666666,30.166666666666668,28.4,28.599999999999998,24.400000000000002,19.0,12.633333333333333,8.1
5.17,31.316666666666666,30.916666666666668,30.383333333333333,29.333333333333332,27.65,27.9,23.85,18.6,12.416666666666666,8.1
5.0,30.4,30.0,29.5,28.5,26.9,27.2,23.3,18.2,12.2,8.1
4.83,29.433333333333334,29.066666666666666,28.583333333333332,27.633333333333333,26.099999999999998,26.4,22.683333333333334,17.766666666666666,11.95,8.083333333333332
4.67,28.466666666666665,28.133333333333333,27.666666666666668,26.766666666666666,25.3,25.599999999999998,22.066666666666666,17.333333333333332,11.7,8.066666666666666
